,Authors,Title,Source title,Year,Affiliations,Authors with affiliations,Author Keywords
475, Suzuki M.;,Cosmic string in Abelian-Higgs model with enhanced symmetry — Implication to the axion domain-wall problem,Journal of High Energy Physics,2020,"ICRR, The University of Tokyo, Kashiwa, 277-8582, Chiba, Japan; Department of Physics, Rikkyo University, Toshima, 171-8501, Tokyo, Japan; Kavli IPMU (WPI), UTIAS, The University of Tokyo, Kashiwa, 277-8583, Chiba, Japan; Tsung-Dao Lee Institute, Shanghai Jiao Tong University, Shanghai, 200240, China"," Suzuki M., Tsung-Dao Lee Institute, Shanghai Jiao Tong University, Shanghai, 200240, China;",Beyond Standard Model; Solitons Monopoles and Instantons
476,Du Q.; Zhang B.-W.;,Two-loop HTL-resummed thermodynamics for N = 4 supersymmetric Yang-Mills theory,Journal of High Energy Physics,2020,"Institute of Particle Physics and Key Laboratory of Quark and Lepton Physics (MOS), Central China Normal University, Wuhan, 430079, China; Department of Physics, Kent State University, Kent, 44242, OH, United States","Du Q., Institute of Particle Physics and Key Laboratory of Quark and Lepton Physics (MOS), Central China Normal University, Wuhan, 430079, China, Department of Physics, Kent State University, Kent, 44242, OH, United States; Zhang B.-W., Institute of Particle Physics and Key Laboratory of Quark and Lepton Physics (MOS), Central China Normal University, Wuhan, 430079, China;",Resummation; Supersymmetric Gauge Theory; Thermal Field Theory
477,Liang X.; Li J.; Antonecchia E.; Ling Y.; Li Z.; Xiao W.; Chu Q.; Wan L.; Hu X.; Han S.; Wan L.; Xiao P.; D'Ascenzo N.; Xie Q.;,NEMA-2008 and In-Vivo Animal and Plant Imaging Performance of the Large FOV Preclinical Digital PET/CT System Discoverist 180,IEEE Transactions on Radiation and Plasma Medical Sciences,2020,"School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Department of Medical Physics and Engineering, Istituto Neurologico Mediterraneo NEUROMED I.R.C.C.S, Pozzilli, 86077, Italy; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, 430074, China; Department of Radiology, Tongji Hospital, Huazhong University of Science and Technology, Wuhan, 430074, China; Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430074, China; Department of Oncology, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430074, China; Department of Software Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; Turku PET Centre, Turku University, Turku, 20500, Finland; Turku University Hospital, Turku, 20500, Finland; Department of Radiology, University of Chicago, Chicago, 60637, IL, United States","Liang X., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Li J., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Antonecchia E., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China, Department of Medical Physics and Engineering, Istituto Neurologico Mediterraneo NEUROMED I.R.C.C.S, Pozzilli, 86077, Italy, Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, 430074, China; Ling Y., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Li Z., Department of Radiology, Tongji Hospital, Huazhong University of Science and Technology, Wuhan, 430074, China, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430074, China; Xiao W., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Chu Q., Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430074, China, Department of Oncology, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430074, China; Wan L., Department of Software Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; Hu X., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Han S., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Wan L., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Xiao P., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; D'Ascenzo N., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China, Department of Medical Physics and Engineering, Istituto Neurologico Mediterraneo NEUROMED I.R.C.C.S, Pozzilli, 86077, Italy, Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, 430074, China; Xie Q., School of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China, Department of Medical Physics and Engineering, Istituto Neurologico Mediterraneo NEUROMED I.R.C.C.S, Pozzilli, 86077, Italy, Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, 430074, China;",Digital readout; multi voltage threshold (MVT); plant positron emission tomography (PET); preclinical neuroscience; preclinical PET/computed tomography (CT)
478,Zhao J.; Chen S.; Zhuang P.;,Heavy flavors under extreme conditions in high energy nuclear collisions,Progress in Particle and Nuclear Physics,2020,"Physics Department, Tsinghua University, Beijing, 100084, China; Frankfurt Institute for Advanced Studies, Ruth-Moufang-Str. 1, Frankfurt am Main, 60438, Germany","Zhao J., Physics Department, Tsinghua University, Beijing, 100084, China; Chen S., Physics Department, Tsinghua University, Beijing, 100084, China; Zhuang P., Physics Department, Tsinghua University, Beijing, 100084, China;",Closed heavy flavor; Electromagnetic and rotational fields; Heavy ion collisions; Open heavy flavor; quark-gluon plasma
479, Cao X.G.; Fang D.Q.; Han K.; Ma Y.G.; Ma L.;,Lowering the Energy Threshold of the CUORE Experiment: Benefits in the Surface Alpha Events Reconstruction: Comparison Between Optimum Trigger and Derivative Trigger Performance in the Search for 0 νββ,Journal of Low Temperature Physics,2020,"Dipartimento di Fisica, Universitá di Genova, Genoa, 16146, Italy; INFN – Sezione di Genova, Genoa, 16146, Italy; Department of Physics and Astronomy, University of South Carolina, Columbia, 29208, SC, United States; Department of Physics and Astronomy, University of California, Los Angeles, 90095, CA, United States; INFN – Laboratori Nazionali di Legnaro, Legnaro, 35020, Padova, Italy; INFN – Sezione di Bologna, Bologna, 40127, Italy; Dipartimento di Fisica, Sapienza Universitá di Roma, Rome, 00185, Italy; INFN – Sezione di Roma, Rome, 00185, Italy; Department of Physics, University of California, Berkeley, 94720, CA, United States; INFN – Sezione di Milano Bicocca, Milan, 20126, Italy; Dipartimento di Fisica, Universitá di Milano-Bicocca, Milan, 20126, Italy; INFN – Laboratori Nazionali del Gran Sasso, Assergi, 67100, L’Aquila, Italy; Massachusetts Institute of Technology, Cambridge, 02139, MA, United States; Shanghai Institute of Applied Physics, Chinese Academy of Sciences, Shanghai, 201800, China; Nuclear Science Division, Lawrence Berkeley National Laboratory, Berkeley, 94720, CA, United States; INFN – Gran Sasso Science Institute, L’Aquila, 67100, Italy; Dipartimento di Ingegneria Civile e Meccanica, Universitá degli Studi di Cassino e del Lazio Meridionale, Cassino, 03043, Italy; Wright Laboratory, Department of Physics, Yale University, New Haven, 06520, CT, United States; Center for Neutrino Physics, Virginia Polytechnic Institute and State University, Blacksburg, 24061, VA, United States; INFN – Laboratori Nazionali di Frascati, Frascati, Rome, 00044, Italy; CSNSM, Univ. Paris-Sud, CNRS/IN2P3, Université Paris-Saclay, Orsay, 91405, France; Physics Department, California Polytechnic State University, San Luis Obispo, 93407, CA, United States; INPAC and School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai Laboratory for Particle Physics and Cosmology, Shanghai, 200240, China; Dipartimento di Fisica e Astronomia, Alma Mater Studiorum – Universitá di Bologna, Bologna, 40127, Italy; Service de Physique des Particules, CEA/Saclay, Gif-sur-Yvette, 91191, France; Lawrence Livermore National Laboratory, Livermore, 94550, CA, United States; Department of Nuclear Engineering, University of California, Berkeley, 94720, CA, United States; INFN – Sezione di Padova, Padua, 35131, Italy; Engineering Division, Lawrence Berkeley National Laboratory, Berkeley, 94720, CA, United States"," Cao X.G., Shanghai Institute of Applied Physics, Chinese Academy of Sciences, Shanghai, 201800, China; Fang D.Q., Shanghai Institute of Applied Physics, Chinese Academy of Sciences, Shanghai, 201800, China; Han K., INPAC and School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai Laboratory for Particle Physics and Cosmology, Shanghai, 200240, China; Ma Y.G., Shanghai Institute of Applied Physics, Chinese Academy of Sciences, Shanghai, 201800, China; Ma L., Shanghai Institute of Applied Physics, Chinese Academy of Sciences, Shanghai, 201800, China;",Bolometers for dark matter research; Digital signal processing; Neutrinoless double beta decay; Trigger algorithms
480, Gao D.;,Directing Cherenkov photons with spatial nonlocality,Nanophotonics,2020,"School of Electrical and Electronic Engineering, Nanyang Technological University, Nanyang Avenue, Singapore, 639798, Singapore; School of Physical Science and Technology, Soochow University, Suzhou, 215006, China; Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore, 637371, Singapore; University of Arizona, James C. Wyant College of Optical Sciences, Tucson, 85721, AZ, United States"," Gao D., School of Physical Science and Technology, Soochow University, Suzhou, 215006, China;",Cherenkov radiation; Light-matter interaction; Metamaterials; Plasmonics; Spatial nonlocality
481,Li Z.; Cheng Y.; Yao Y.; Xiong S.; Zhang X.;,Molecular deposition condition dependent structural and charge transport properties of CBP films,Computational Materials Science,2020,"Institute of Functional Nano & Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials & Devices, Soochow University, 199 Ren'ai Road, Suzhou, 215123, Jiangsu, China; Key Laboratory of Organic Synthesis of Jiangsu Province and the State and Local Joint Engineering Laboratory for Novel Functional Polymeric Materials, College of Chemistry, Chemical Engineering and Materials Science, Soochow University, Suzhou, 215123, China","Li Z., Institute of Functional Nano & Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials & Devices, Soochow University, 199 Ren'ai Road, Suzhou, 215123, Jiangsu, China; Cheng Y., Key Laboratory of Organic Synthesis of Jiangsu Province and the State and Local Joint Engineering Laboratory for Novel Functional Polymeric Materials, College of Chemistry, Chemical Engineering and Materials Science, Soochow University, Suzhou, 215123, China; Yao Y., Key Laboratory of Organic Synthesis of Jiangsu Province and the State and Local Joint Engineering Laboratory for Novel Functional Polymeric Materials, College of Chemistry, Chemical Engineering and Materials Science, Soochow University, Suzhou, 215123, China; Xiong S., Institute of Functional Nano & Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials & Devices, Soochow University, 199 Ren'ai Road, Suzhou, 215123, Jiangsu, China; Zhang X., Institute of Functional Nano & Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials & Devices, Soochow University, 199 Ren'ai Road, Suzhou, 215123, Jiangsu, China;",Charge transport; Molecular deposition; Molecular dynamics; Monte Carlo simulations; Reorganization Energy
482,Zheng R.; He R.Q.; Lu Z.Y.;,Natural orbitals renormalization group approach to a Kondo singlet,"Science China: Physics, Mechanics and Astronomy",2020,"Department of Physics, Renmin University of China, Beijing, 100872, China","Zheng R., Department of Physics, Renmin University of China, Beijing, 100872, China; He R.Q., Department of Physics, Renmin University of China, Beijing, 100872, China; Lu Z.Y., Department of Physics, Renmin University of China, Beijing, 100872, China;",71.10.-w; 71.10.Fd; 71.27.+a; active natural orbital; Kondo effect; Kondo singlet; natural orbitals renormalization group
483,Feng L.; He D.-Z.; Li H.-L.; Zhang J.-F.; Zhang X.;,Constraints on active and sterile neutrinos in an interacting dark energy cosmology,"Science China: Physics, Mechanics and Astronomy",2020,"College of Physical Science and Technology, Shenyang Normal University, Shenyang, 110034, China; Department of Physics, College of Sciences, Northeastern University, Shenyang, 110819, China; Ministry of Education’s Key Laboratory of Data Analytics and Optimization for Smart Industry, Northeastern University, Shenyang, 110819, China; Center for High Energy Physics, Peking University, Beijing, 100080, China","Feng L., College of Physical Science and Technology, Shenyang Normal University, Shenyang, 110034, China; He D.-Z., Department of Physics, College of Sciences, Northeastern University, Shenyang, 110819, China; Li H.-L., Department of Physics, College of Sciences, Northeastern University, Shenyang, 110819, China; Zhang J.-F., Department of Physics, College of Sciences, Northeastern University, Shenyang, 110819, China; Zhang X., Department of Physics, College of Sciences, Northeastern University, Shenyang, 110819, China, Ministry of Education’s Key Laboratory of Data Analytics and Optimization for Smart Industry, Northeastern University, Shenyang, 110819, China, Center for High Energy Physics, Peking University, Beijing, 100080, China;",active neutrinos; Hubble tension; interacting dark energy; neutrino mass; sterile neutrinos
484,Gao L.-N.; Liu F.-H.;,Transverse momentum spectra of heavy baryons and mesons in forward rapidity range in small collision system at the LHC,Indian Journal of Physics,2020,"Department of Physics, Taiyuan Normal University, Jinzhong, 030619, Shanxi, China; Institute of Theoretical Physics and State Key Laboratory of Quantum Optics and Quantum Optics Devices, Shanxi University, Taiyuan, 030006, Shanxi, China","Gao L.-N., Department of Physics, Taiyuan Normal University, Jinzhong, 030619, Shanxi, China; Liu F.-H., Institute of Theoretical Physics and State Key Laboratory of Quantum Optics and Quantum Optics Devices, Shanxi University, Taiyuan, 030006, Shanxi, China;",Baryons and mesons; Transverse momentum spectra; Tsallis statistics and inverse power law; Two-component Schwinger mechanism
485, Jia H.;,Pet imaging of sigma1 receptors,PET and SPECT of Neurobiological Systems,2020,"Research Team for Neuroimaging, Tokyo Metropolitan Institute of Gerontology, Tokyo, Japan; Department of Neuroradiopharmaceuticals, Helmholtz Zentrum Dresden-Rossendorf, Leipzig, Germany; Key Laboratory of Radiopharmaceuticals, Ministry of Education, College of Chemistry, Beijing Normal University, Beijing, China"," Jia H., Key Laboratory of Radiopharmaceuticals, Ministry of Education, College of Chemistry, Beijing Normal University, Beijing, China;","Cerebral ischemia; Kinetic analysis; Mood disorders; Neurodegenerative disease; Positron emission tomography; Receptors, sigma-1; Schizophrenia; Substance abuse"
486,Cai-Xia W.; Rong-Fu W.;,Clinical application and research advancement of positron emission tomography/computed tomography in colorectal cancer,World Chinese Journal of Digestology,2020,"Department of Nuclear Medicine, Peking University First Hospital, Beijing, 100034, China; Department of Nuclear Medicine, Peking University International Hospital, Beijing, 102206, China","Cai-Xia W., Department of Nuclear Medicine, Peking University First Hospital, Beijing, 100034, China, Department of Nuclear Medicine, Peking University International Hospital, Beijing, 102206, China; Rong-Fu W., Department of Nuclear Medicine, Peking University First Hospital, Beijing, 100034, China, Department of Nuclear Medicine, Peking University International Hospital, Beijing, 102206, China;",Colorectal cancer; Diagnosis; Positron emission tomography/ computed tomography; Prognosis; Staging
487,Hu Z.; Li G.; Zhang X.; Ye K.; Lu J.; Peng H.;,A machine learning framework with anatomical prior for online dose verification using positron emitters and PET in proton therapy,Physics in Medicine and Biology,2020,"Department of Medical Physics, Wuhan University, Wuhan, 430072, China; Department of Computer Science, Wuhan University, Wuhan, 430072, China; Institute for Advanced Studies, Wuhan University, Wuhan, 430072, China; Department of Radiation Oncology, Shanghai Proton and Heavy Ion Center, Shanghai, 201321, China","Hu Z., Department of Medical Physics, Wuhan University, Wuhan, 430072, China; Li G., Department of Computer Science, Wuhan University, Wuhan, 430072, China; Zhang X., Department of Medical Physics, Wuhan University, Wuhan, 430072, China; Ye K., Institute for Advanced Studies, Wuhan University, Wuhan, 430072, China; Lu J., Department of Radiation Oncology, Shanghai Proton and Heavy Ion Center, Shanghai, 201321, China; Peng H., Department of Medical Physics, Wuhan University, Wuhan, 430072, China;",dose verification; positron emission tomography (PET); proton therapy; range verification; recurrent neural network (RNN)
488,Feng Q.; Liang J.; Wang L.; Niu J.; Ge X.; Pang P.; Ding Z.;,Radiomics Analysis and Correlation With Metabolic Parameters in Nasopharyngeal Carcinoma Based on PET/MR Imaging,Frontiers in Oncology,2020,"Department of Radiology, Affiliated Hangzhou First People's Hospital, Zhejiang University School of Medicine, Hangzhou, China; Hangzhou Universal Medical Imaging Diagnostic Center, Hangzhou, China; Institutes of Psychological Sciences, Hangzhou Normal University, Hangzhou, China; Zhejiang Chinese Medical University, Hangzhou, China; GE Healthcare Life Sciences, Hangzhou, China; Translational Medicine Research Center, Key Laboratory of Clinical Cancer Pharmacology and Toxicology Research of Zhejiang Province, Affiliated Hangzhou First People's Hospital, Zhejiang University School of Medicine, Hangzhou, China","Feng Q., Department of Radiology, Affiliated Hangzhou First People's Hospital, Zhejiang University School of Medicine, Hangzhou, China; Liang J., Hangzhou Universal Medical Imaging Diagnostic Center, Hangzhou, China; Wang L., Institutes of Psychological Sciences, Hangzhou Normal University, Hangzhou, China; Niu J., Zhejiang Chinese Medical University, Hangzhou, China; Ge X., Department of Radiology, Affiliated Hangzhou First People's Hospital, Zhejiang University School of Medicine, Hangzhou, China; Pang P., GE Healthcare Life Sciences, Hangzhou, China; Ding Z., Department of Radiology, Affiliated Hangzhou First People's Hospital, Zhejiang University School of Medicine, Hangzhou, China, Translational Medicine Research Center, Key Laboratory of Clinical Cancer Pharmacology and Toxicology Research of Zhejiang Province, Affiliated Hangzhou First People's Hospital, Zhejiang University School of Medicine, Hangzhou, China;",magnetic resonance imaging; nasopharyngeal carcinoma; positron emission tomography; radiomics; staging
489,Dong J.; Xu W.; Ji Z.;,Case report: A nonfunctioning juxtaglomerular cell tumor mimicking renal cell carcinoma,Medicine (United States),2020,"Urology Department, Peking Union Medical Collage Hospital, Beijing, China","Dong J., Urology Department, Peking Union Medical Collage Hospital, Beijing, China; Xu W., Urology Department, Peking Union Medical Collage Hospital, Beijing, China; Ji Z., Urology Department, Peking Union Medical Collage Hospital, Beijing, China;",hypertension; nonfunctioning juxtaglomerular cell tumor; positron emission tomography /computed tomography; renal cell carcinoma
490,Wang L.; Yu F.; Yang L.; Zang S.; Xue H.; Yin X.; Guo H.; Sun H.; Wang F.;,68Ga-PSMA-11 PET/CT combining ADC value of MRI in the diagnosis of naive prostate cancer: Perspective of radiologist,Medicine (United States),2020,"Department of Radiology, Nanjing First Hospital, Nanjing Medical University, China; Department of Nuclear Medicine, Nanjing First Hospital, Nanjing Medical University, China; Department of Pathology, Nanjing First Hospital, Nanjing Medical University, China; Department of Urology, Drum Tower Hospital, Medical School of Nanjing University, Nanjing University, China; Department of Urology, Nanjing First Hospital, Nanjing Medical University, Nanjing, China","Wang L., Department of Radiology, Nanjing First Hospital, Nanjing Medical University, China; Yu F., Department of Nuclear Medicine, Nanjing First Hospital, Nanjing Medical University, China; Yang L., Department of Pathology, Nanjing First Hospital, Nanjing Medical University, China; Zang S., Department of Nuclear Medicine, Nanjing First Hospital, Nanjing Medical University, China; Xue H., Department of Radiology, Nanjing First Hospital, Nanjing Medical University, China; Yin X., Department of Radiology, Nanjing First Hospital, Nanjing Medical University, China; Guo H., Department of Urology, Drum Tower Hospital, Medical School of Nanjing University, Nanjing University, China; Sun H., Department of Urology, Nanjing First Hospital, Nanjing Medical University, Nanjing, China; Wang F., Department of Nuclear Medicine, Nanjing First Hospital, Nanjing Medical University, China;",magnetic resonance imaging (MRI); positron emission computed tomography (PET); prostate cancer; prostate-specific membrane antigen (PSMA)
491,Han M.; Xie F.; Wu T.; Li X.; Jia B.;,Radionuclide myocardial imaging evaluates the survival myocardium; [PET/SPECT 核素心肌显像对存活心肌检测的研究进展],Journal of Clinical Cardiology,2020,"Department of Nuclear Medicine, Liaoning Provincial People's Hospital, Shenyang, 110000, China","Han M., Department of Nuclear Medicine, Liaoning Provincial People's Hospital, Shenyang, 110000, China; Xie F., Department of Nuclear Medicine, Liaoning Provincial People's Hospital, Shenyang, 110000, China; Wu T., Department of Nuclear Medicine, Liaoning Provincial People's Hospital, Shenyang, 110000, China; Li X., Department of Nuclear Medicine, Liaoning Provincial People's Hospital, Shenyang, 110000, China; Jia B., Department of Nuclear Medicine, Liaoning Provincial People's Hospital, Shenyang, 110000, China;",coronary artery disease; positron emission tomography; single-photon emission computed tomography; viable myocardium
492,Tian B.; Chen D.; Guo S.; Xia P.;,Spontaneous symmetric breaking in two-lane totally asymmetric simple exclusion process with narrow entrances,Journal of University of Science and Technology of China,2020,"School of Engineering, Anhui Agricultural University, Hefei, 230036, China; School of Engineering Science, University of Science and Technology of China, Hefei, 230027, China","Tian B., School of Engineering, Anhui Agricultural University, Hefei, 230036, China, School of Engineering Science, University of Science and Technology of China, Hefei, 230027, China; Chen D., School of Engineering, Anhui Agricultural University, Hefei, 230036, China; Guo S., School of Engineering, Anhui Agricultural University, Hefei, 230036, China; Xia P., School of Engineering, Anhui Agricultural University, Hefei, 230036, China;",Asymmetric simple exclusion process; Cluster mean field analysis; Simple mean field analysis; Spontaneous symmetry breaking
493,Luo R.; Jiang Y.; Huang Y.; Chen X.; Wang F.;,Longitudinal observation of solitary fibrous tumor translation into malignant pulmonary artery intimal sarcoma,Journal of Cardiothoracic Surgery,2020,"Department of Nuclear Medicine, Nanjing First Hospital, Nanjing Medical University, 68th Changle Road, Nanjing, 210006, China; Department of Cardiothoracic Surgery, Nanjing First Hospital, Nanjing Medical University, 68th Changle Road, Nanjing, 210006, China; Department of Pathology, Nanjing First Hospital, Nanjing Medical University, 68th Changle Road, Nanjing, 210006, China","Luo R., Department of Nuclear Medicine, Nanjing First Hospital, Nanjing Medical University, 68th Changle Road, Nanjing, 210006, China; Jiang Y., Department of Cardiothoracic Surgery, Nanjing First Hospital, Nanjing Medical University, 68th Changle Road, Nanjing, 210006, China; Huang Y., Department of Pathology, Nanjing First Hospital, Nanjing Medical University, 68th Changle Road, Nanjing, 210006, China; Chen X., Department of Cardiothoracic Surgery, Nanjing First Hospital, Nanjing Medical University, 68th Changle Road, Nanjing, 210006, China; Wang F., Department of Nuclear Medicine, Nanjing First Hospital, Nanjing Medical University, 68th Changle Road, Nanjing, 210006, China;",<sup>18</sup>F-FDG; Malignant potential; Positron emission tomography; Pulmonary artery intimal sarcoma; Solitary fibrous tumor
494,Xie T.; Chen X.;,Age-dependent dose calculations for common PET radionuclides and brain radiotracers in nonhuman primate computational models,Medical Physics,2020,"Institute of Radiation Medicine, Fudan University, 2094 Xietu Road, Shanghai, 200032, China; Division of Nuclear Medicine and Molecular Imaging, Geneva University Hospital, Geneva, CH-1211, Switzerland; Geneva Neuroscience Center, Geneva University, Geneva, CH-1205, Switzerland; Department of Nuclear Medicine and Molecular Imaging, University of Groningen, University Medical Center Groningen, Groningen, Netherlands; Department of Nuclear Medicine, University of Southern Denmark, Odense, DK-500, Denmark","Xie T., Institute of Radiation Medicine, Fudan University, 2094 Xietu Road, Shanghai, 200032, China, Division of Nuclear Medicine and Molecular Imaging, Geneva University Hospital, Geneva, CH-1211, Switzerland; Chen X., Institute of Radiation Medicine, Fudan University, 2094 Xietu Road, Shanghai, 200032, China;",computational models; molecular imaging; Monte Carlo simulations; nonhuman primates; radiation dosimetry
495,Zhou Y.; Ou Y.; Ju Z.; Zhang X.; Zheng L.; Li J.; Sun Y.; Liu X.;,Visualization of translocator protein (18 kDa) (TSPO) in the retina of diabetic retinopathy rats using fluorine-18-DPA-714,Annals of Nuclear Medicine,2020,"Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China","Zhou Y., Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China; Ou Y., Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China; Ju Z., Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China; Zhang X., Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China; Zheng L., Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China; Li J., Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China; Sun Y., Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China; Liu X., Department of Nuclear Medicine, Huashan Hospital, Fudan University, No. 12 Urumchi Middle Road, Jing’an District, Shanghai, 200040, China;",Diabetic retinopathy; Positron emission tomography; Translocator protein; [<sup>18</sup>F]-DPA-714
496,Wen G.; Gu J.; Zhou W.; Wang L.; Tian Y.; Dong Y.; Fu L.; Wu H.;,Benefits of 18F-FDG PET/CT for the preoperative characterisation or staging of disease in the ampullary and duodenal papillary,European Radiology,2020,"Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China; Department of Nuclear Medicine, Jinhua Municipal Central Hospital, Jinhua Hospital of Zhejiang University, Jinhua, Zhejiang, China","Wen G., Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China, Department of Nuclear Medicine, Jinhua Municipal Central Hospital, Jinhua Hospital of Zhejiang University, Jinhua, Zhejiang, China; Gu J., Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China; Zhou W., Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China; Wang L., Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China; Tian Y., Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China; Dong Y., Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China; Fu L., Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China; Wu H., Nanfang PET Center, Nanfang Hospital, Southern Medical University, 1838 Guangzhou Avenue North, Guangzhou, 510515, Guangdong Province, China;",Ampulla of Vater; Carcinomas; Diagnosis; Magnetic resonance imaging; Positron emission tomography
497,Zhou X.; Li Y.; Wang Q.;,FDG PET/CT used in identifying adult-onset Still’s disease in connective tissue diseases,Clinical Rheumatology,2020,"Department of Nuclear Medicine, Peking University People’s Hospital, No.11 Xizhimen South Avenue, Xicheng District, Beijing, 100044, China","Zhou X., Department of Nuclear Medicine, Peking University People’s Hospital, No.11 Xizhimen South Avenue, Xicheng District, Beijing, 100044, China; Li Y., Department of Nuclear Medicine, Peking University People’s Hospital, No.11 Xizhimen South Avenue, Xicheng District, Beijing, 100044, China; Wang Q., Department of Nuclear Medicine, Peking University People’s Hospital, No.11 Xizhimen South Avenue, Xicheng District, Beijing, 100044, China;",         <sup>18</sup>F-fluoro-dexoxyglucose; Adult-onset Still’s disease; Connective tissue disease; Fever of unknown origin; Positron emission tomography/computed tomography
498,Gao S.; Yu X.;,Co-simulation of Parallel Computing of Disc Temperature Distributed Parameter System Cooling Rate Control; [盘坯温度分布参数系统冷速控制并行联合仿真],Xitong Fangzhen Xuebao / Journal of System Simulation,2021,"School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China","Gao S., School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China; Yu X., School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China;",Co-simulation; Fluent; Gas impact jet quenching; Parallel computing; Simulink
